Series,Date,Value,Sector Code,Sector Description
abs,2017-01-01,31612.0,p3.4.2,Chemicals & chemical products and pharmaceutical products 
abs,2017-01-01,7062.0,p3.4.3,Rubber products
abs,2017-01-01,9575.0,p3.4.4,Plastics products
abs,2017-01-01,34517.0,p3.5,"Non-metallic mineral products, basic metal and fabricated metal products"
abs,2017-01-01,11265.0,p3.5.1,Non-metallic mineral products
abs,2017-01-01,7865.0,p3.5.2,Basic metals
abs,2017-01-01,15387.0,p3.5.3,Fabricated metal products
abs,2017-01-01,81217.0,p3.6,"Electrical, electronic and optical products"
abs,2017-01-01,9203.0,p3.6.1,Machinery and equipment
abs,2017-01-01,5240.0,p3.6.2,Computers and peripheral equipment
abs,2017-01-01,6060.0,p3.6.3,Electrical equipment
abs,2017-01-01,55731.0,p3.6.4,"Electronic components & boards, communication equipment and consumer electronics"
abs,2017-01-01,4983.0,p3.6.5,"Manufacture of medical, precision & optical instrument, watches and clocks"
abs,2017-01-01,31942.0,p3.7,"Transport equipment, other manufacturing and repair"
abs,2017-01-01,23139.0,p3.7.1,Motor vehicles and transport equipment
abs,2017-01-01,4569.0,p3.7.2,Furniture
abs,2017-01-01,4234.0,p3.7.3,Other manufacturing and repair & installation of machinery and equipment
abs,2017-01-01,63522.0,p4,Construction
abs,2017-01-01,32525.0,p4.1,Buildings
abs,2017-01-01,16988.0,p4.1.1,Residential buildings
abs,2017-01-01,15537.0,p4.1.2,Non-residential buildings
abs,2017-01-01,20253.0,p4.2,Civil engineering
abs,2017-01-01,10743.0,p4.3,Specialised construction activities
abs,2017-01-01,723361.0,p5,Services
abs,2017-01-01,154721.0,p5.1,"Utilities, transportation & storage and information & communication"
abs,2017-01-01,27671.0,p5.1.1,Electricity and gas
abs,2017-01-01,6725.0,p5.1.2,"Water, sewerage and waste management"
abs,2017-01-01,47212.0,p5.1.3,Transportation and storage
abs,2017-01-01,11695.0,p5.1.3.1,Land transport
abs,2017-01-01,6304.0,p5.1.3.2,Water transport
abs,2017-01-01,6093.0,p5.1.3.3,Air transport
abs,2017-01-01,6735.0,p5.1.3.4,Port and airport operation
abs,2017-01-01,7146.0,p5.1.3.5,Highway operation
abs,2017-01-01,7230.0,p5.1.3.6,Support activities for transportation
abs,2017-01-01,2009.0,p5.1.3.7,Postal and courier 
abs,2017-01-01,73113.0,p5.1.4,Information and communication
abs,2017-01-01,7374.0,p5.1.4.1,Publishing and broadcasting activities 
